2023-03-12  - 2023-03-19,"37,207 mWh","75,998 mWh"
2023-03-19  - 2023-03-26,"41,734 mWh","75,998 mWh"
2023-03-26  - 2023-04-09,"46,843 mWh","75,998 mWh"
2023-04-09  - 2023-04-16,"60,274 mWh","75,998 mWh"
2023-04-16  - 2023-04-23,"65,745 mWh","75,998 mWh"
2023-04-23  - 2023-04-30,"65,023 mWh","75,998 mWh"
2023-04-30  - 2023-05-07,"63,600 mWh","75,998 mWh"
2023-05-07  - 2023-05-14,"61,434 mWh","75,998 mWh"
2023-05-14  - 2023-05-21,"60,223 mWh","75,998 mWh"
2023-05-21  - 2023-05-31,"57,412 mWh","75,998 mWh"
2023-05-31  - 2023-06-04,"64,234 mWh","75,998 mWh"
2023-06-04  - 2023-06-11,"62,584 mWh","75,998 mWh"
2023-06-11  - 2023-06-18,"63,304 mWh","75,998 mWh"
2023-06-18  - 2023-06-25,"65,406 mWh","75,998 mWh"
2023-06-25  - 2023-07-04,"65,406 mWh","75,998 mWh"
2023-07-04  - 2023-07-09,"64,219 mWh","75,998 mWh"
2023-07-09  - 2023-07-16,"63,602 mWh","75,998 mWh"
2023-07-16  - 2023-07-23,"63,988 mWh","75,998 mWh"
2023-07-23  - 2023-07-30,"64,614 mWh","75,998 mWh"
2023-07-30  - 2023-08-06,"64,614 mWh","75,998 mWh"
2023-08-06  - 2023-08-13,"64,614 mWh","75,998 mWh"
2023-08-13  - 2023-08-20,"64,614 mWh","75,998 mWh"
2023-08-20  - 2023-08-27,"64,614 mWh","75,998 mWh"
2023-08-27  - 2023-09-03,"64,614 mWh","75,998 mWh"
2023-09-03  - 2023-09-10,"64,614 mWh","75,998 mWh"
2023-09-10  - 2023-09-17,"64,614 mWh","75,998 mWh"
2023-09-17  - 2023-09-24,"64,614 mWh","75,998 mWh"
2023-09-24  - 2023-10-01,"64,614 mWh","75,998 mWh"
2023-10-01  - 2023-10-08,"64,614 mWh","75,998 mWh"
2023-10-08  - 2023-10-15,"64,614 mWh","75,998 mWh"
2023-10-15  - 2023-10-22,"64,614 mWh","75,998 mWh"
2023-10-22  - 2023-10-29,"64,614 mWh","75,998 mWh"
2023-10-29  - 2023-11-05,"64,614 mWh","75,998 mWh"
2023-11-05  - 2023-11-12,"64,614 mWh","75,998 mWh"
2023-11-12  - 2023-11-19,"64,614 mWh","75,998 mWh"
2023-11-19  - 2023-11-27,"64,614 mWh","75,998 mWh"
2023-11-27  - 2023-12-03,"64,614 mWh","75,998 mWh"
2023-12-03  - 2023-12-10,"64,614 mWh","75,998 mWh"
2023-12-10  - 2023-12-18,"64,614 mWh","75,998 mWh"
2023-12-18  - 2023-12-24,"59,939 mWh","75,998 mWh"
2023-12-24  - 2023-12-31,"59,081 mWh","75,998 mWh"
2023-12-31  - 2024-01-07,"59,801 mWh","75,998 mWh"
2024-01-07  - 2024-01-14,"59,801 mWh","75,998 mWh"
2024-01-14  - 2024-01-21,"59,801 mWh","75,998 mWh"
2024-01-21  - 2024-01-28,"59,801 mWh","75,998 mWh"
2024-01-28  - 2024-02-05,"61,307 mWh","75,998 mWh"
2024-02-05  - 2024-02-11,"61,285 mWh","75,998 mWh"
2024-02-11  - 2024-02-18,"60,641 mWh","75,998 mWh"
2024-02-18  - 2024-02-25,"59,247 mWh","75,998 mWh"
2024-02-25  - 2024-03-03,"59,247 mWh","75,998 mWh"
2024-03-03  - 2024-03-10,"48,717 mWh","75,998 mWh"
2024-03-10  - 2024-03-17,"25,791 mWh","75,998 mWh"
2024-03-17  - 2024-03-24,"55,322 mWh","75,998 mWh"
2024-03-24  - 2024-03-31,"45,557 mWh","75,998 mWh"
2024-03-31  - 2024-04-07,"52,770 mWh","75,998 mWh"
2024-04-07  - 2024-04-14,"43,181 mWh","75,998 mWh"
2024-04-14  - 2024-04-21,"40,556 mWh","75,998 mWh"
2024-04-21  - 2024-04-28,"27,011 mWh","75,998 mWh"
2024-04-28  - 2024-05-05,"27,011 mWh","75,998 mWh"
2024-05-05  - 2024-05-12,"30,593 mWh","75,998 mWh"
2024-05-12  - 2024-05-19,"38,541 mWh","75,998 mWh"
2024-05-19  - 2024-05-26,"52,420 mWh","75,998 mWh"
2024-05-26  - 2024-06-02,"50,120 mWh","75,998 mWh"
2024-06-02  - 2024-06-09,"53,816 mWh","75,998 mWh"
2024-06-09  - 2024-06-16,"55,906 mWh","75,998 mWh"
2024-06-16  - 2024-06-23,"55,906 mWh","75,998 mWh"
2024-06-23  - 2024-06-30,"55,906 mWh","75,998 mWh"
2024-06-30  - 2024-07-07,"55,906 mWh","75,998 mWh"
2024-07-07  - 2024-07-14,"55,906 mWh","75,998 mWh"
2024-07-14  - 2024-07-22,"55,906 mWh","75,998 mWh"
2024-07-22  - 2024-07-28,"55,906 mWh","75,998 mWh"
2024-07-28  - 2024-08-04,"55,906 mWh","75,998 mWh"
2024-08-04  - 2024-08-11,"55,906 mWh","75,998 mWh"
2024-08-11  - 2024-08-18,"53,506 mWh","75,998 mWh"
2024-08-18  - 2024-08-26,"53,236 mWh","75,998 mWh"
2024-08-26  - 2024-09-01,"53,198 mWh","75,998 mWh"
2024-09-01  - 2024-09-10,"53,198 mWh","75,998 mWh"
2024-09-10  - 2024-09-15,"53,201 mWh","75,998 mWh"
2024-09-15  - 2024-09-22,"53,272 mWh","75,998 mWh"
2024-09-22  - 2024-09-29,"53,705 mWh","75,998 mWh"
2024-09-29  - 2024-10-06,"53,705 mWh","75,998 mWh"
2024-10-06  - 2024-10-13,"53,705 mWh","75,998 mWh"
2024-10-13  - 2024-10-20,"53,705 mWh","75,998 mWh"
2024-10-20  - 2024-10-28,"53,705 mWh","75,998 mWh"
2024-10-28  - 2024-11-03,"53,705 mWh","75,998 mWh"
2024-11-03  - 2024-11-10,"53,705 mWh","75,998 mWh"
2024-11-10  - 2024-11-17,"53,705 mWh","75,998 mWh"
2024-11-17  - 2024-11-24,"51,097 mWh","75,998 mWh"
2024-11-24  - 2024-12-01,"20,076 mWh","75,998 mWh"
2024-12-01  - 2024-12-08,"20,076 mWh","75,998 mWh"
2024-12-08  - 2024-12-15,"20,010 mWh","75,998 mWh"
2024-12-15  - 2024-12-22,"19,791 mWh","75,998 mWh"
2024-12-22  - 2024-12-30,"19,791 mWh","75,998 mWh"
2024-12-30  - 2025-01-05,"19,791 mWh","75,998 mWh"
2025-01-05  - 2025-01-12,"29,844 mWh","75,998 mWh"
2025-01-12  - 2025-01-19,"52,198 mWh","75,998 mWh"
2025-01-19  - 2025-01-26,"51,932 mWh","75,998 mWh"
2025-01-26  - 2025-02-02,"51,932 mWh","75,998 mWh"
2025-02-02  - 2025-02-09,"51,932 mWh","75,998 mWh"
2025-02-09  - 2025-02-16,"51,932 mWh","75,998 mWh"
2025-02-16  - 2025-02-23,"51,932 mWh","75,998 mWh"
2025-02-23  - 2025-03-02,"51,768 mWh","75,998 mWh"
2025-03-02  - 2025-03-09,"49,457 mWh","75,998 mWh"
2025-03-09  - 2025-03-23,"34,636 mWh","75,998 mWh"
2025-03-23  - 2025-03-30,"25,459 mWh","75,998 mWh"
2025-03-30  - 2025-04-06,"25,459 mWh","75,998 mWh"
2025-04-06  - 2025-04-13,"25,459 mWh","75,998 mWh"
2025-04-13  - 2025-04-20,"25,459 mWh","75,998 mWh"
2025-04-20  - 2025-04-27,"26,995 mWh","75,998 mWh"
2025-04-27  - 2025-05-04,"29,006 mWh","75,998 mWh"
2025-05-04  - 2025-05-11,"30,702 mWh","75,998 mWh"
2025-05-11  - 2025-05-18,"37,648 mWh","75,998 mWh"
2025-05-18  - 2025-05-25,"53,904 mWh","75,998 mWh"
2025-05-25  - 2025-06-01,"44,284 mWh","75,998 mWh"
2025-06-01  - 2025-06-08,"38,072 mWh","75,998 mWh"
2025-06-08  - 2025-06-15,"24,145 mWh","75,998 mWh"
2025-06-15  - 2025-06-22,"24,145 mWh","75,998 mWh"
2025-06-22  - 2025-06-29,"27,441 mWh","75,998 mWh"
2025-06-29  - 2025-07-06,"29,750 mWh","75,998 mWh"
2025-07-06  - 2025-07-13,"40,595 mWh","75,998 mWh"
2025-07-13  - 2025-07-20,"40,330 mWh","75,998 mWh"
2025-07-20  - 2025-07-27,"50,829 mWh","75,998 mWh"
2025-07-27  - 2025-08-03,"48,591 mWh","75,998 mWh"
2025-08-03  - 2025-08-10,"42,208 mWh","75,998 mWh"
2025-08-10  - 2025-08-17,"25,538 mWh","75,998 mWh"
2025-08-17  - 2025-08-24,"29,831 mWh","75,998 mWh"
2025-08-24  - 2025-08-31,"51,663 mWh","75,998 mWh"
2025-08-31  - 2025-09-07,"51,663 mWh","75,998 mWh"
2025-09-07  - 2025-09-14,"51,663 mWh","75,998 mWh"
2025-09-14  - 2025-09-21,"51,488 mWh","75,998 mWh"
2025-09-21,"50,542 mWh","75,998 mWh"
2025-09-22,"50,903 mWh","75,998 mWh"
2025-09-23,"50,870 mWh","75,998 mWh"
2025-09-24,"50,760 mWh","75,998 mWh"
2025-09-25,"50,613 mWh","75,998 mWh"
2025-09-26,"49,991 mWh","75,998 mWh"
2025-09-27,"49,130 mWh","75,998 mWh"
2025-09-28,"45,321 mWh","75,998 mWh"
